gene	scaffold	start	end	exonLen	CDSlen	nonCDSLen	eExp	kExp	eRPK	kRPK	eTPM	kTPM	eSyn#	eSyns	eMis#	eMiss	kSyn#	kSyns	kMis#	kMiss	eSynFix	eMisFix	kSynFix	kMisFix	epN/pS	kpN/pS
ABHD14A	NW_008794884.1	256045	258035	658	658	1332	1321	1028	2007.59878419453	1562.31003039514	38.7992766722166	32.8123445216952	3	26	8	28	0	0	4	5	0	0	0	0	2.66666666666667	
ABHD14B	NW_008794884.1	252603	256140	877	630	2907	2418	1810	3838.09523809524	2873.01587301587	74.1758364318401	60.3403836675446	0	0	1	1	1	2	0	0	0	0	0	0		0
ABHD15	NW_008795131.1	819839	824912	1459	1459	3614	163	64	111.720356408499	43.865661411926	2.15913112337888	0.9212865352699	4	18	5	9	6	35	6	12	0	0	0	0	1.25	1
ABHD17A	NW_008795920.1	381525	388191	1795	902	5764	5040	4517	5587.58314855876	5007.76053215078	107.986808029936	105.175260138041	11	44	1	1	4	23	1	2	0	0	0	0	0.0909090909090909	0.25
ABHD17C	NW_008795035.1	5313127	5343705	2572	930	29648	1701	1267	1829.03225806452	1362.36559139785	35.3482624027023	28.6130206423518	3	9	0	0	4	16	0	0	0	0	0	0	0	0
ABHD18	NW_008794431.1	1246941	1270645	6694	1383	22321	1349	1413	975.415762834418	1021.69197396963	18.8510903426542	21.4580386688445	3	10	4	4	3	19	2	2	0	0	0	0	1.33333333333333	0.666666666666667
ABHD2	NW_008795035.1	6114481	6156137	7969	1272	40384	23208	15044	18245.2830188679	11827.0440251572	352.612179975976	248.396947901925	4	25	1	1	6	84	0	0	0	0	0	0	0.25	0
ABHD3	NW_008796043.1	6919214	6945049	2049	1176	24659	5480	4955	4659.86394557823	4213.43537414966	90.0575114424148	88.4924825590027	2	8	3	8	2	6	1	5	0	0	0	0	1.5	0.5
ABHD5	NW_008795718.1	24961	37869	3283	921	11987	3877	2946	4209.55483170467	3198.69706840391	81.3547427245054	67.1804879870484	3	125	1	1	0	0	0	0	0	0	0	0	0.333333333333333	
ABHD6	NW_008795909.1	11958574	11970835	2938	1006	11255	8151	3848	8102.38568588469	3825.04970178926	156.588411193811	80.335430347313	2	11	2	3	6	10	0	0	0	0	1	0	1	0
ABHD8	NW_008795320.1	975620	977906	1289	1289	997	1712	919	1328.16136539953	712.955779674166	25.668326105388	14.9738209550417	14	44	0	0	3	9	1	1	0	0	0	0	0	0.333333333333333
ABI1	NW_008794911.1	2323480	2384756	2152	1261	60015	7773	6156	6164.15543219667	4881.83980967486	119.129765343179	102.530615958642	3	4	0	0	1	8	0	0	0	0	1	0	0	0
ABI2	NW_008794003.1	1020425	1060248	1315	1191	38632	4786	2580	4018.47187237615	2166.24685138539	77.6618332324789	45.4964998136238	2	5	0	0	4	4	0	0	1	0	0	1	0	0
ABI3	NW_008796180.1	642868	647534	1090	1090	3576	198	453	181.651376146789	415.596330275229	3.51063273025236	8.72854280241298	7	66	2	20	4	27	0	0	0	0	0	0	0.285714285714286	0
ABI3BP	NW_008794443.1	6909165	7077400	5879	4825	163410	603	984	124.974093264249	203.937823834197	2.41527563156222	4.28319476061996	9	68	6	94	3	8	9	64	0	1	1	2	0.666666666666667	3
ABL1	NW_008796111.1	2143561	2227619	5705	3424	80634	5214	4008	1522.78037383178	1170.56074766355	29.4295740266775	24.5846482379655	10	36	3	8	7	15	1	43	0	0	0	0	0.3	0.142857142857143
ABL2	NW_008795025.1	3000750	3016811	3672	3415	12646	1502	905	439.824304538799	265.007320644217	8.50013708581357	5.56580405718201	3	7	1	4	13	27	6	9	0	0	1	0	0.333333333333333	0.461538461538462
ABLIM1	NW_008795129.1	18004777	18100833	3637	2041	94015	2681	2365	1313.57177853993	1158.74571288584	25.3863646788541	24.3365035137304	5	36	0	0	0	0	2	3	0	0	0	1	0	
ABLIM2	NW_008795948.1	364426	487809	3865	2123	121260	7352	8225	3463.02402260951	3874.23457371644	66.9271311746022	81.3684333566592	6	16	1	2	1	18	3	4	0	0	1	0	0.166666666666667	3
ABLIM3	NW_008796044.1	7158284	7216467	2230	2017	56166	3725	2360	1846.80218145761	1170.05453644026	35.6916876824946	24.5740165600422	5	19	3	3	5	14	1	1	1	0	1	0	0.6	0.2
ABR	NW_008795131.1	1213883	1240323	5835	2431	24009	23333	13246	9598.10777457836	5448.78650761004	185.495051106554	114.437887893254	9	38	1	1	7	47	0	0	0	0	0	0	0.111111111111111	0
ABRA	NW_008794775.1	335356	341538	1634	1228	4954	1647	3244	1341.20521172638	2641.69381107492	25.920414225031	55.482052706208	3	6	9	39	5	43	7	47	0	0	0	0	3	1.4
ABRACL	NW_008795490.1	8454422	8456188	600	244	1522	1096	794	4491.80327868853	3254.09836065574	86.8095356199015	68.3440510782066	2	3	1	6	1	10	1	1	0	0	0	0	0.5	1
ABTB1	NW_008795909.1	10935903	10963361	4829	1446	26012	6513	5944	4504.14937759336	4110.65006915629	87.0481389260016	86.3337389206757	4	54	0	0	3	20	1	2	0	0	0	0	0	0.333333333333333
ABTB2	NW_008794281.1	2155706	2291340	5323	3037	132597	2175	1579	716.167270332565	519.920974646032	13.8407994087164	10.9196163451799	11	86	5	9	14	70	4	9	0	0	0	0	0.454545454545455	0.285714285714286
ACAA1	NW_008795026.1	755900	767349	2703	1060	10389	14510	9472	13688.679245283	8935.84905660377	264.550296352193	187.674758616887	3	4	3	7	8	20	1	2	0	0	0	0	1	0.125
ACAA2	NW_008794713.1	493468	517745	1885	1304	22973	15560	12010	11932.5153374233	9210.1226993865	230.610303023224	193.435178178381	7	112	4	6	4	29	5	11	0	0	1	0	0.571428571428571	1.25
ACACA	NW_008795131.1	4167388	4307544	8055	7042	133114	12429	7412	1764.98153933542	1052.54189150809	34.1104047308459	22.1059626423479	24	124	1	1	15	79	1	8	0	0	2	1	0.0416666666666667	0.0666666666666667
ACACB	NW_008795859.1	410064	437297	8417	7091	20142	2690	3536	379.354110844733	498.660273586236	7.33147739443009	10.4730894495096	55	328	8	16	35	229	10	37	0	1	1	0	0.145454545454545	0.285714285714286
ACAD10	NW_008795859.1	1105622	1120886	3435	2265	12999	1334	1623	588.962472406181	716.556291390729	11.3824127093245	15.0494405366867	8	25	13	73	9	102	11	58	0	0	0	0	1.625	1.22222222222222
ACAD11	NW_008794159.1	553705	594526	2272	2272	38549	38	43	16.7253521126761	18.9260563380282	0.323237675360677	0.397493627332937	12	66	15	50	8	88	14	148	0	0	0	2	1.25	1.75
ACAD8	NW_008795485.1	1272841	1279408	2166	1183	5384	3335	3528	2819.10397295013	2982.24852071006	54.4825967595519	62.6345373242629	9	63	8	47	2	27	2	50	0	0	0	0	0.888888888888889	1
ACAD9	NW_008795708.1	599684	623146	1861	1526	21936	7989	7871	5235.25557011796	5157.92922673657	101.177651089416	108.329171235876	2	50	1	10	1	8	3	3	0	0	0	0	0.5	3
ACADL	NW_008795441.1	1336690	1354479	2227	1471	16318	13051	14684	8872.19578518015	9982.32494901428	171.46592320606	209.653320392322	3	50	1	1	2	3	1	1	0	0	2	2	0.333333333333333	0.5
ACADS	NW_008795323.1	1545647	1553596	2569	1302	6647	8015	10875	6155.91397849462	8352.53456221198	118.970489274233	175.42372279038	6	32	1	10	6	44	1	1	0	0	0	0	0.166666666666667	0.166666666666667
ACADSB	NW_008795129.1	22735827	22751413	5053	1271	14315	6011	6522	4729.34697088906	5131.39260424862	91.4003550146873	107.771837043189	4	5	2	2	3	17	2	2	0	0	0	0	0.5	0.666666666666667
ACAN	NW_008795035.1	6194159	6223159	6483	6358	22642	158	49	24.8505819440076	7.70682604592639	0.480267577317737	0.161862259390189	23	161	14	39	19	80	16	122	2	1	0	3	0.608695652173913	0.842105263157895
ACAP2	NW_008795629.1	1361521	1431138	5023	2466	67151	3911	2953	1585.96918085969	1197.48580697486	30.6507742115775	25.1501405571604	13	86	5	50	4	25	3	3	0	0	1	0	0.384615384615385	0.75
ACAP3	NW_008794753.1	3516742	3573363	2880	2591	54030	7387	4509	2851.02277113084	1740.25472790428	55.0994661716117	36.54961984278	13	64	5	9	3	45	2	2	0	0	0	0	0.384615384615385	0.666666666666667
ACAT1	NW_008795043.1	1170001	1185614	1462	1005	14608	24751	18910	24627.8606965174	18815.92039801	475.963219609322	395.18050232075	0	0	1	4	1	3	1	11	0	0	0	0		1
ACAT2	NW_008794009.1	114304	122782	1159	1045	7433	9014	5668	8625.83732057416	5423.92344497608	166.704747664392	113.91570256439	2	2	1	2	2	47	1	1	0	0	0	0	0.5	0.5
ACBD3	NW_008796042.1	82424	124393	3739	1846	40123	2985	2604	1617.00975081257	1410.61755146262	31.2506708000525	29.626430213237	9	44	12	67	7	21	4	9	0	0	0	1	1.33333333333333	0.571428571428571
ACBD4	NW_008796188.1	510497	525699	1210	875	14327	1280	1740	1462.85714285714	1988.57142857143	28.2714850519371	41.7648799219337	8	40	8	25	3	10	5	55	0	0	0	0	1	1.66666666666667
ACBD5	NW_008794911.1	2244388	2277445	1658	1437	31620	3004	2454	2090.46624913013	1707.72442588727	40.4007907418975	35.8664036715907	3	6	9	82	3	11	0	0	0	0	0	1	3	0
ACBD6	NW_008795025.1	3364268	3456355	1171	694	91393	1657	1748	2387.60806916427	2518.73198847262	46.1434160996907	52.8995526852475	1	10	2	7	1	1	3	7	0	0	0	0	2	3
ACBD7	NW_008795018.1	12391238	12400348	611	263	8847	1705	1757	6482.8897338403	6680.60836501901	125.289691545445	140.30916976964	0	0	0	0	1	5	0	0	0	0	0	0		0
ACCS	NW_008795128.1	1972966	1985942	1927	1629	11347	1027	767	630.448127685697	470.841006752609	12.184173215353	9.88881657797525	1	4	0	0	4	47	1	3	0	0	0	0	0	0.25
ACD	NW_008794457.1	1298658	1309820	2374	1885	9277	2538	2622	1346.41909814324	1390.98143236074	26.0211788913666	29.2140235253807	7	38	6	16	2	7	7	65	0	1	0	0	0.857142857142857	3.5
ACE	NW_008796188.1	2447336	2462215	4059	3615	11264	741	850	204.979253112033	235.131396957123	3.96147219064438	4.93833634472237	13	60	4	86	2	48	3	71	0	2	2	0	0.307692307692308	1.5
ACE2	NW_008795041.1	223395	248299	2416	2416	22488	1226	2668	507.450331125828	1104.30463576159	9.80709190987993	23.1931072966036	16	52	5	20	10	55	11	49	0	1	1	0	0.3125	1.1
ACER1	NW_008795475.1	396848	407710	786	786	10076	686	675	872.773536895674	858.778625954198	16.8674050795416	18.0364585738148	5	14	1	43	1	4	1	4	0	0	0	0	0.2	1
ACER3	NW_008796046.1	2123995	2183485	3218	793	58697	1946	2023	2453.97225725095	2551.07187894073	47.4259843673016	53.5787697466429	3	5	0	0	1	2	0	0	0	0	0	0	0	0
ACKR1	NW_008795479.1	846174	847631	861	861	596	8	42	9.29152148664344	48.7804878048781	0.179569899974194	1.0245099504259	0	0	0	0	1	2	0	0	0	0	0	0		0
ACKR2	NW_008795026.1	3032264	3039217	2777	1687	5266	110	483	65.2045050385299	286.307053941909	1.26015598892678	6.01315072563253	6	48	6	47	4	14	7	13	0	1	0	0	1	1.75
ACKR3	NW_008795936.1	991410	993377	1967	1094	873	5329	3841	4871.11517367459	3510.9689213894	94.1401971417612	73.7389632097905	3	50	1	5	1	3	0	0	1	0	1	0	0.333333333333333	0
ACKR4	NW_008794159.1	569642	573953	1361	1061	3250	21	379	19.7926484448633	357.210179076343	0.382516889895546	7.50229034857121	4	8	3	9	2	17	7	79	0	0	0	1	0.75	3.5
ACLY	NW_008794172.1	525359	547401	3478	3278	18764	43475	27155	13262.6601586333	8284.01464307505	256.316961813092	173.984636341737	13	166	2	2	13	56	1	2	0	0	0	0	0.153846153846154	0.0769230769230769
ACMSD	NW_008794155.1	3951449	3976863	1001	1001	24413	465	801	464.535464535465	800.1998001998	8.97771016523078	16.806159481487	1	7	3	4	2	11	1	1	0	0	0	0	3	0.5
ACO2	NW_008794445.1	3607223	3650905	2949	2406	41276	26677	29218	11087.6974231089	12143.8071487947	214.283174189919	255.049750829864	22	161	9	35	13	120	2	4	0	0	0	0	0.409090909090909	0.153846153846154
ACOD1	NW_008795495.1	4644655	4651584	1551	1420	5509	27	417	19.0140845070423	293.661971830986	0.367470199357402	6.16762205015199	5	52	2	5	5	37	3	17	0	0	0	0	0.4	0.6
ACOT11	NW_008796165.1	9950682	9962018	2115	1793	9543	1757	1635	979.921918572225	911.879531511433	18.93817725692	19.1517078992751	5	70	3	9	7	79	4	22	0	0	0	1	0.6	0.571428571428571
ACOT13	NW_008795036.1	2331571	2335908	1135	354	3983	2543	2133	7183.61581920904	6025.42372881356	138.832071363417	126.548684596888	1	2	1	1	4	7	0	0	0	0	0	0	1	0
ACOT7	NW_008794753.1	646958	653899	1943	1347	5594	8182	5186	6074.23904974016	3850.03711952487	117.3920224098	80.8602274384774	4	10	4	4	2	39	0	0	0	0	0	0	1	0
ACOT8	NW_008795316.1	504447	506200	988	719	1034	2238	2174	3112.65646731572	3023.64394993046	60.1558540539766	63.5039429216011	2	7	0	0	0	0	0	0	0	0	0	0	0	
ACOT9	NW_008795041.1	4355994	4377521	3325	1266	20261	4510	2452	3562.40126382306	1936.80884676145	68.8477166556863	40.6777386793905	5	42	2	3	3	5	6	18	0	0	0	0	0.4	2
ACOX1	NW_008795314.1	810252	829570	3588	1766	17552	21421	10187	12129.6715741789	5768.40317100793	234.420585953139	121.150622158702	2	45	2	2	3	5	1	2	0	0	0	0	1	0.333333333333333
ACOX2	NW_008795909.1	8205181	8224693	2829	2014	17498	2277	2067	1130.58589870904	1026.31578947368	21.8499410495101	21.5551501411976	8	46	9	95	4	20	5	14	0	0	0	0	1.125	1.25
ACOX3	NW_008795948.1	691425	726520	3264	2104	32991	2722	1917	1293.72623574144	911.121673003802	25.002825541547	19.1357910108424	2	6	8	44	1	11	6	8	1	0	1	0	4	6
ACP1	NW_008795017.1	9825730	9843270	1320	619	16921	1811	1827	2925.68659127625	2951.53473344103	56.5424348753354	61.9894724204791	2	2	1	1	1	2	1	1	0	0	0	0	0.5	1
ACP2	NW_008795128.1	3817980	3825367	3588	940	6447	7366	7079	7836.17021276596	7530.85106382979	151.443474926028	158.166352926417	0	0	0	0	3	48	0	0	0	0	0	1		0
ACP5	NW_008795331.1	37428	46984	806	806	8750	86	136	106.699751861042	168.734491315136	2.06210186313417	3.54383838931441	0	0	0	0	0	0	0	0	0	0	0	0		
ACP6	NW_008794836.1	625918	632824	1119	892	6014	462	137	517.937219730942	153.587443946188	10.0097637263922	3.22571322395869	3	7	6	32	3	7	7	28	0	0	0	0	2	2.33333333333333
ACR	NW_008794886.1	210818	214034	1799	1033	2183	0	2	0	1.93610842207164	0	0.0406630280420736	0	0	0	0	0	0	0	0	0	0	0	0		
ACRBP	NW_008796114.1	2056859	2073670	1526	1526	15285	0	0	0	0	0	0	4	25	4	4	4	7	5	7	0	0	0	0	1	1.25
ACSBG1	NW_008794743.1	1847140	1885537	4870	2232	36165	2032	1799	910.394265232975	806.003584229391	17.5944711939768	16.9280531885	3	14	5	57	3	6	7	49	0	0	0	1	1.66666666666667	2.33333333333333
ACSBG2	NW_008795475.1	456468	470751	3746	2199	12084	4561	4355	2074.12460209186	1980.44565711687	40.0849686315688	41.594218780877	11	53	4	11	3	3	2	4	0	0	0	0	0.363636363636364	0.666666666666667
ACSF2	NW_008795318.1	806175	838857	2132	1819	30863	5106	3398	2807.03683342496	1868.05937328202	54.24938468114	39.2338310262331	6	56	7	16	9	32	1	1	0	0	0	1	1.16666666666667	0.111111111111111
ACSF3	NW_008794602.1	199471	265411	1869	1755	64185	1111	1325	633.048433048433	754.985754985755	12.2344272641178	15.8565535774607	11	56	5	24	3	3	3	6	0	0	0	0	0.454545454545455	1
ACSL1	NW_008795127.1	1805055	1837755	3687	2077	30623	17415	14785	8384.68945594608	7118.44005777564	162.044273274648	149.50470974938	6	62	4	5	3	9	3	41	0	0	0	0	0.666666666666667	1
